"日期","收盘","开盘","高","低","涨跌幅"
"2023-9-1","2.715","2.594","2.741","2.594","4.87%"
"2023-8-1","2.589","2.811","2.811","2.533","-4.00%"
"2023-7-1","2.697","2.700","2.810","2.636","0.52%"
"2023-6-1","2.683","2.785","2.820","2.622","-1.14%"
"2023-5-1","2.714","2.878","2.878","2.693","-2.55%"
"2023-4-1","2.785","2.913","2.958","2.775","-2.66%"
"2023-3-1","2.861","2.918","2.990","2.850","-1.79%"
"2023-2-1","2.913","2.966","3.020","2.889","-0.51%"
"2023-1-1","2.928","2.947","3.060","2.856","1.53%"
"2022-12-1","2.884","2.932","3.025","2.858","-1.33%"
"2022-11-1","2.923","2.670","2.943","2.650","10.30%"
"2022-10-1","2.650","2.865","2.865","2.636","-4.74%"
"2022-9-1","2.782","2.661","2.800","2.623","5.02%"
"2022-8-1","2.649","2.805","2.805","2.615","-3.99%"
"2022-7-1","2.759","2.853","2.905","2.755","-2.30%"
"2022-6-1","2.824","2.825","2.880","2.776","0.75%"
"2022-5-1","2.803","2.928","2.928","2.742","-1.34%"
"2022-4-1","2.841","2.854","2.922","2.783","0.85%"
"2022-3-1","2.817","2.854","2.935","2.761","0.93%"
"2022-2-1","2.791","2.800","2.887","2.712","1.53%"
"2022-1-1","2.749","2.850","2.890","2.660","-1.22%"
"2021-12-1","2.783","2.903","2.940","2.771","-2.93%"
"2021-11-1","2.867","3.030","3.050","2.848","-3.66%"
"2021-10-1","2.976","3.000","3.108","2.885","3.55%"
"2021-9-1","2.874","2.930","3.000","2.823","0.60%"
